"fdp_list","power_list","power_eur_list","power_afr_list","power_homo_list"
0.162520155239437,0.33975,0.528,0.098,0.688
0.175574278620273,0.386,0.665,0.055,0.78
0.16446116498559,0.43175,0.428,0.515,0.732
0.173933510908286,0.38525,0.663,0.062,0.772
0.155033398113938,0.38525,0.449,0.373,0.67
0.16498002999693,0.392,0.564,0.245,0.71
0.15852541912173,0.36425,0.531,0.2,0.679
0.164479542061363,0.43575,0.461,0.502,0.725
0.171611927218148,0.486,0.407,0.673,0.814
0.17275714683356,0.4785,0.323,0.725,0.815
0.174834686114854,0.38625,0.668,0.053,0.78
0.167977269422349,0.4775,0.301,0.745,0.815
0.174296694415859,0.38325,0.662,0.055,0.772
0.175770804300008,0.39025,0.675,0.055,0.787
0.136106359864618,0.196,0.215,0.026,0.506
0.160801092661896,0.373,0.516,0.235,0.694
0.175323579843077,0.3865,0.668,0.054,0.78
0.175213804758359,0.39025,0.677,0.053,0.787
0.162650151394672,0.4585,0.506,0.532,0.743
0.153976952889393,0.31675,0.444,0.137,0.641
0.169690097646564,0.47825,0.393,0.664,0.807
0.173946970831184,0.384,0.658,0.064,0.77
0.167695543633791,0.4795,0.297,0.753,0.819
0.159324103322945,0.39125,0.503,0.324,0.69
0.160402913390188,0.37025,0.512,0.228,0.694
0.173268353150973,0.48325,0.313,0.745,0.824
0.174035413074054,0.3835,0.663,0.055,0.772
0.175550220006253,0.39,0.674,0.055,0.787
0.173438973983087,0.48075,0.32,0.735,0.817
0.15422704975183,0.30975,0.443,0.113,0.64
0.171363813831179,0.382,0.653,0.066,0.765
0.161794785776904,0.39375,0.503,0.332,0.691
0.173883816844197,0.384,0.665,0.055,0.772
0.174698444839349,0.38375,0.662,0.057,0.772
0.174084246105629,0.3865,0.669,0.053,0.78
0.170282371097621,0.4785,0.388,0.665,0.811
0.171736328984691,0.37775,0.641,0.069,0.757
0.174572810851379,0.3835,0.657,0.063,0.77
0.174054384487936,0.38325,0.663,0.055,0.771
0.175126848256051,0.38625,0.668,0.055,0.778
0.173976124536505,0.38375,0.664,0.055,0.772
0.15507688584149,0.31925,0.465,0.11,0.656
0.17570120723041,0.39,0.674,0.055,0.787
